SIZE; WEIGHT UNITS; VIRTUAL BYTES; NO WITNESS; WITNESS; TX PER BLOCK; N SCRIPTS;
234;936;234;234;0;427;2;
235;940;235;235;0;425;3;
234;936;234;234;0;427;4;
235;940;235;235;0;425;5;
234;936;234;234;0;427;6;
235;940;235;235;0;425;7;
235;940;235;235;0;425;8;
235;940;235;235;0;425;9;
235;940;235;235;0;425;10;
234;936;234;234;0;427;11;
235;940;235;235;0;425;12;
234;936;234;234;0;427;13;
234;936;234;234;0;427;14;
234;936;234;234;0;427;15;
235;940;235;235;0;425;16;
234;936;234;234;0;427;17;
235;940;235;235;0;425;18;
234;936;234;234;0;427;19;
235;940;235;235;0;425;20;
234;936;234;234;0;427;21;
235;940;235;235;0;425;22;
235;940;235;235;0;425;23;
234;936;234;234;0;427;24;
234;936;234;234;0;427;25;
234;936;234;234;0;427;26;
235;940;235;235;0;425;27;
235;940;235;235;0;425;28;
234;936;234;234;0;427;29;
235;940;235;235;0;425;30;
235;940;235;235;0;425;31;
235;940;235;235;0;425;32;
235;940;235;235;0;425;33;
234;936;234;234;0;427;34;
