SIZE; WEIGHT UNITS; VIRTUAL BYTES; NO WITNESS; WITNESS; TX PER BLOCK; N SCRIPTS;
311;566;142;85;226;706;2;
385;640;160;85;300;624;3;
459;714;179;85;374;559;4;
532;787;197;85;447;507;5;
606;861;216;85;521;464;6;
679;934;234;85;594;427;7;
752;1007;252;85;667;396;8;
825;1080;270;85;740;370;9;
898;1153;289;85;813;346;10;
971;1226;307;85;886;326;11;
1044;1299;325;85;959;307;12;
1117;1372;343;85;1032;291;13;
1190;1445;362;85;1105;276;14;
1262;1517;380;85;1177;263;15;
1336;1591;398;85;1251;251;16;
1409;1664;416;85;1324;240;17;
1481;1736;434;85;1396;230;18;
1554;1809;453;85;1469;220;19;
1628;1883;471;85;1543;212;20;
1700;1955;489;85;1615;204;21;
1773;2028;507;85;1688;197;22;
1846;2101;526;85;1761;190;23;
1920;2175;544;85;1835;183;24;
1993;2248;562;85;1908;177;25;
2065;2320;580;85;1980;172;26;
2139;2394;599;85;2054;166;27;
2211;2466;617;85;2126;162;28;
2285;2540;635;85;2200;157;29;
2358;2613;654;85;2273;152;30;
2430;2685;672;85;2345;148;31;
2503;2758;690;85;2418;144;32;
2577;2832;708;85;2492;141;33;
2650;2905;727;85;2565;137;34;
