SIZE; WEIGHT UNITS; VIRTUAL BYTES; NO WITNESS; WITNESS; TX PER BLOCK; N SCRIPTS;
234;936;234;234;0;427;2;
234;936;234;234;0;427;3;
235;940;235;235;0;425;4;
235;940;235;235;0;425;5;
235;940;235;235;0;425;6;
235;940;235;235;0;425;7;
234;936;234;234;0;427;8;
234;936;234;234;0;427;9;
235;940;235;235;0;425;10;
235;940;235;235;0;425;11;
235;940;235;235;0;425;12;
235;940;235;235;0;425;13;
234;936;234;234;0;427;14;
235;940;235;235;0;425;15;
235;940;235;235;0;425;16;
235;940;235;235;0;425;17;
234;936;234;234;0;427;18;
235;940;235;235;0;425;19;
234;936;234;234;0;427;20;
235;940;235;235;0;425;21;
235;940;235;235;0;425;22;
235;940;235;235;0;425;23;
235;940;235;235;0;425;24;
234;936;234;234;0;427;25;
234;936;234;234;0;427;26;
234;936;234;234;0;427;27;
235;940;235;235;0;425;28;
235;940;235;235;0;425;29;
234;936;234;234;0;427;30;
235;940;235;235;0;425;31;
235;940;235;235;0;425;32;
235;940;235;235;0;425;33;
234;936;234;234;0;427;34;
