SIZE; WEIGHT UNITS; VIRTUAL BYTES; NO WITNESS; WITNESS; TX PER BLOCK; N SCRIPTS;
326;581;146;85;241;687;2;
326;581;146;85;241;687;3;
358;613;154;85;273;652;4;
358;613;154;85;273;652;5;
358;613;154;85;273;652;6;
358;613;154;85;273;652;7;
390;645;162;85;305;619;8;
390;645;162;85;305;619;9;
390;645;162;85;305;619;10;
390;645;162;85;305;619;11;
390;645;162;85;305;619;12;
390;645;162;85;305;619;13;
390;645;162;85;305;619;14;
390;645;162;85;305;619;15;
422;677;170;85;337;590;16;
422;677;170;85;337;590;17;
422;677;170;85;337;590;18;
422;677;170;85;337;590;19;
422;677;170;85;337;590;20;
422;677;170;85;337;590;21;
422;677;170;85;337;590;22;
422;677;170;85;337;590;23;
422;677;170;85;337;590;24;
422;677;170;85;337;590;25;
422;677;170;85;337;590;26;
422;677;170;85;337;590;27;
422;677;170;85;337;590;28;
422;677;170;85;337;590;29;
422;677;170;85;337;590;30;
422;677;170;85;337;590;31;
454;709;178;85;369;563;32;
454;709;178;85;369;563;33;
454;709;178;85;369;563;34;
